job,marital,education,default,housing,loan,contact,month,poutcome
technician,married,secondary,no,yes,no,unknown,may,unknown
housemaid,married,secondary,no,yes,no,unknown,may,unknown
technician,divorced,primary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
blue-collar,single,primary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,yes,unknown,may,unknown
retired,married,secondary,no,yes,yes,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
retired,married,primary,no,yes,no,unknown,may,unknown
technician,single,unknown,no,yes,no,unknown,may,unknown
technician,married,tertiary,no,no,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
blue-collar,married,unknown,no,yes,no,unknown,may,unknown
unknown,married,primary,no,yes,yes,unknown,may,unknown
services,married,primary,no,yes,no,unknown,may,unknown
admin,married,primary,no,yes,no,unknown,may,unknown
technician,married,tertiary,no,yes,no,unknown,may,unknown
services,single,primary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,no,no,unknown,may,unknown
retired,divorced,primary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
services,single,unknown,no,yes,no,unknown,may,unknown
technician,married,tertiary,no,yes,yes,unknown,may,unknown
self-employed,single,tertiary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,yes,unknown,may,unknown
services,divorced,secondary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
admin,divorced,secondary,no,yes,no,unknown,may,unknown
technician,single,tertiary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,yes,unknown,may,unknown
management,single,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
services,divorced,secondary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
technician,single,tertiary,no,yes,yes,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
services,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,yes,unknown,may,unknown
technician,divorced,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,yes,unknown,may,unknown
blue-collar,married,unknown,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
blue-collar,single,primary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,yes,yes,unknown,may,unknown
blue-collar,single,secondary,yes,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
technician,married,secondary,no,yes,yes,unknown,may,unknown
retired,married,primary,no,no,no,unknown,may,unknown
technician,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
self-employed,divorced,tertiary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,no,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
technician,married,tertiary,no,yes,no,unknown,may,unknown
technician,divorced,secondary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,no,no,unknown,may,unknown
self-employed,single,tertiary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,yes,no,unknown,may,unknown
admin,divorced,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
services,single,secondary,no,yes,no,unknown,may,unknown
retired,single,secondary,no,yes,no,unknown,may,unknown
entrepreneur,single,primary,no,yes,yes,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
admin,single,secondary,no,yes,yes,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
services,divorced,secondary,no,yes,yes,unknown,may,unknown
management,married,tertiary,no,no,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
services,single,secondary,no,yes,no,unknown,may,unknown
self-employed,single,secondary,no,yes,no,unknown,may,unknown
management,married,secondary,no,yes,no,unknown,may,unknown
services,single,secondary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
student,single,secondary,no,yes,no,unknown,may,unknown
entrepreneur,married,unknown,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
unemployed,divorced,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
admin,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,single,primary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
technician,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,single,secondary,no,yes,yes,unknown,may,unknown
management,divorced,secondary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
admin,divorced,secondary,no,yes,no,unknown,may,unknown
services,married,primary,no,yes,no,unknown,may,unknown
unemployed,divorced,secondary,no,yes,no,unknown,may,unknown
management,divorced,tertiary,no,yes,no,unknown,may,unknown
technician,divorced,secondary,no,yes,no,unknown,may,unknown
technician,divorced,secondary,no,yes,no,unknown,may,unknown
services,married,secondary,no,yes,no,unknown,may,unknown
unemployed,married,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,secondary,no,yes,yes,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,divorced,primary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
technician,single,secondary,no,yes,no,unknown,may,unknown
unemployed,divorced,primary,no,yes,no,unknown,may,unknown
management,single,tertiary,no,yes,no,unknown,may,unknown
entrepreneur,single,secondary,no,yes,no,unknown,may,unknown
blue-collar,married,primary,no,yes,no,unknown,may,unknown
management,married,tertiary,no,yes,no,unknown,jun,unknown
services,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,primary,no,yes,yes,unknown,jun,unknown
services,married,primary,no,yes,no,unknown,jun,unknown
technician,married,secondary,no,yes,no,unknown,jun,unknown
services,married,secondary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,yes,no,unknown,jun,unknown
management,married,tertiary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
technician,single,secondary,yes,yes,no,unknown,jun,unknown
blue-collar,married,primary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
management,divorced,tertiary,yes,yes,no,unknown,jun,unknown
technician,single,secondary,no,yes,no,unknown,jun,unknown
unemployed,married,secondary,no,yes,yes,unknown,jun,unknown
self-employed,married,secondary,yes,yes,yes,unknown,jun,unknown
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown
management,single,secondary,no,yes,no,unknown,jun,unknown
services,single,secondary,no,yes,no,unknown,jun,unknown
services,single,secondary,no,yes,no,unknown,jun,unknown
management,married,primary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,yes,yes,no,unknown,jun,unknown
blue-collar,divorced,primary,no,yes,no,unknown,jun,unknown
admin,married,secondary,no,yes,no,unknown,jun,unknown
technician,single,tertiary,no,yes,no,unknown,jun,unknown
management,divorced,secondary,no,yes,no,unknown,jun,unknown
admin,divorced,secondary,no,yes,no,unknown,jun,unknown
services,single,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,primary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,yes,no,unknown,jun,unknown
management,single,tertiary,yes,yes,no,unknown,jun,unknown
services,single,secondary,no,yes,no,unknown,jun,unknown
self-employed,married,tertiary,no,yes,yes,unknown,jun,unknown
blue-collar,married,primary,no,yes,no,unknown,jun,unknown
admin,divorced,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,secondary,no,no,no,unknown,jun,unknown
retired,divorced,primary,no,yes,no,unknown,jun,unknown
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown
management,single,tertiary,no,no,no,unknown,jun,unknown
admin,single,secondary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,yes,no,unknown,jun,unknown
services,divorced,secondary,no,no,no,unknown,jun,unknown
housemaid,married,primary,no,no,yes,unknown,jun,unknown
blue-collar,married,secondary,no,no,no,unknown,jun,unknown
housemaid,divorced,primary,yes,no,no,unknown,jun,unknown
housemaid,married,secondary,no,no,no,unknown,jun,unknown
self-employed,married,secondary,no,yes,no,unknown,jun,unknown
technician,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
technician,single,secondary,no,yes,no,unknown,jun,unknown
admin,married,secondary,no,yes,yes,unknown,jun,unknown
blue-collar,married,unknown,no,no,yes,unknown,jun,unknown
admin,single,secondary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,yes,no,unknown,jun,unknown
services,divorced,secondary,no,yes,no,unknown,jun,unknown
technician,married,secondary,no,no,no,unknown,jun,unknown
blue-collar,single,primary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,unknown,no,no,no,unknown,jun,unknown
management,divorced,secondary,no,yes,no,unknown,jun,unknown
services,married,secondary,no,no,no,unknown,jun,unknown
management,single,tertiary,no,no,no,unknown,jun,unknown
self-employed,divorced,tertiary,no,no,no,unknown,jun,unknown
technician,married,primary,no,yes,no,unknown,jun,unknown
blue-collar,divorced,primary,no,no,no,unknown,jun,unknown
management,married,secondary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,no,no,unknown,jun,unknown
self-employed,single,tertiary,no,no,no,unknown,jun,unknown
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown
admin,single,secondary,no,no,yes,unknown,jun,unknown
admin,married,secondary,no,no,no,unknown,jun,unknown
management,married,tertiary,no,no,yes,unknown,jun,unknown
housemaid,married,primary,no,no,yes,unknown,jun,unknown
retired,married,unknown,no,no,no,unknown,jun,unknown
retired,married,unknown,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,no,no,unknown,jun,unknown
management,married,tertiary,no,no,no,unknown,jun,unknown
blue-collar,divorced,unknown,no,no,no,unknown,jun,unknown
unemployed,married,secondary,no,no,no,unknown,jun,unknown
admin,single,tertiary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,no,no,unknown,jun,unknown
admin,married,secondary,no,no,no,unknown,jun,unknown
self-employed,married,tertiary,no,no,no,unknown,jun,unknown
housemaid,single,tertiary,no,no,no,unknown,jun,unknown
management,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,tertiary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
management,divorced,tertiary,no,no,yes,unknown,jun,unknown
blue-collar,single,secondary,yes,yes,no,unknown,jun,unknown
blue-collar,married,primary,no,yes,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
retired,divorced,tertiary,no,yes,yes,unknown,jun,unknown
entrepreneur,single,unknown,no,no,no,unknown,jun,unknown
services,married,secondary,no,no,no,unknown,jun,unknown
blue-collar,divorced,secondary,no,yes,no,unknown,jun,unknown
unemployed,single,tertiary,no,no,no,unknown,jun,unknown
management,single,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,secondary,no,no,yes,unknown,jun,unknown
technician,married,secondary,no,yes,no,unknown,jun,unknown
management,married,tertiary,no,no,no,unknown,jun,unknown
entrepreneur,married,tertiary,no,no,no,unknown,jun,unknown
management,married,secondary,no,no,no,unknown,jun,unknown
technician,divorced,tertiary,no,no,no,unknown,jun,unknown
student,single,tertiary,no,no,no,unknown,jun,unknown
management,married,secondary,no,no,no,unknown,jun,unknown
blue-collar,married,primary,no,yes,no,unknown,jun,unknown
management,married,tertiary,no,no,no,unknown,jun,unknown
self-employed,single,tertiary,no,no,no,unknown,jun,unknown
services,divorced,secondary,no,no,no,unknown,jun,unknown
admin,married,secondary,no,yes,no,unknown,jun,unknown
management,single,tertiary,no,no,no,unknown,jun,unknown
blue-collar,single,primary,no,no,no,unknown,jun,unknown
entrepreneur,married,secondary,no,no,no,unknown,jun,unknown
technician,married,secondary,no,yes,yes,unknown,jun,unknown
admin,married,secondary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,primary,no,no,yes,unknown,jun,unknown
blue-collar,divorced,secondary,no,no,no,unknown,jun,unknown
retired,divorced,secondary,no,no,yes,unknown,jun,unknown
technician,married,secondary,no,no,no,unknown,jun,unknown
housemaid,married,primary,no,no,no,unknown,jun,unknown
services,married,secondary,no,yes,no,unknown,jun,unknown
entrepreneur,married,tertiary,yes,no,no,unknown,jun,unknown
retired,married,primary,no,no,no,unknown,jun,unknown
blue-collar,single,secondary,no,no,no,unknown,jun,unknown
blue-collar,married,primary,no,no,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
unemployed,married,primary,no,no,no,unknown,jun,unknown
services,married,secondary,no,no,yes,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
retired,married,tertiary,no,no,no,unknown,jun,unknown
services,married,unknown,no,no,yes,unknown,jun,unknown
management,married,tertiary,no,no,yes,unknown,jun,unknown
management,married,tertiary,no,no,yes,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
technician,married,tertiary,no,no,yes,unknown,jun,unknown
management,married,tertiary,no,yes,yes,unknown,jun,unknown
blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown
services,divorced,secondary,no,no,no,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jun,unknown
management,married,tertiary,no,no,no,unknown,jun,unknown
management,married,secondary,no,yes,no,unknown,jun,unknown
blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown
services,divorced,unknown,no,no,no,unknown,jun,unknown
unemployed,married,tertiary,no,no,no,unknown,jun,unknown
blue-collar,single,secondary,yes,no,no,unknown,jun,unknown
admin,single,primary,no,yes,no,unknown,jun,unknown
management,married,tertiary,no,yes,no,unknown,jun,unknown
blue-collar,single,primary,no,yes,no,unknown,jun,unknown
blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown
technician,married,tertiary,no,yes,yes,unknown,jun,unknown
admin,single,secondary,no,no,yes,unknown,jun,unknown
blue-collar,married,primary,no,no,yes,unknown,jun,unknown
admin,divorced,secondary,no,no,yes,unknown,jun,unknown
blue-collar,single,secondary,no,yes,no,unknown,jul,unknown
technician,single,tertiary,no,no,no,unknown,jul,unknown
technician,single,secondary,no,no,no,unknown,jul,unknown
services,single,secondary,no,no,yes,unknown,jul,unknown
services,married,secondary,no,no,yes,unknown,jul,unknown
technician,married,primary,no,no,no,unknown,jul,unknown
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown
technician,married,secondary,no,no,no,cellular,jul,unknown
technician,single,secondary,no,yes,no,cellular,jul,unknown
blue-collar,divorced,primary,no,yes,no,cellular,jul,unknown
services,single,secondary,no,no,no,cellular,jul,unknown
entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown
technician,married,secondary,no,no,no,cellular,jul,unknown
self-employed,married,secondary,no,no,no,cellular,jul,unknown
unemployed,married,secondary,no,no,no,cellular,jul,unknown
self-employed,single,tertiary,no,no,no,cellular,jul,unknown
technician,single,secondary,no,no,yes,cellular,jul,unknown
admin,divorced,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,yes,yes,yes,cellular,jul,unknown
blue-collar,divorced,primary,no,no,yes,cellular,jul,unknown
technician,single,secondary,no,yes,yes,cellular,jul,unknown
blue-collar,single,secondary,no,no,no,cellular,jul,unknown
management,single,tertiary,no,no,yes,cellular,jul,unknown
entrepreneur,married,secondary,no,yes,yes,cellular,jul,unknown
entrepreneur,married,tertiary,yes,no,no,cellular,jul,unknown
self-employed,single,secondary,no,no,no,cellular,jul,unknown
technician,single,secondary,no,no,yes,cellular,jul,unknown
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,unknown
management,divorced,tertiary,no,no,yes,cellular,jul,unknown
services,married,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,yes,no,yes,cellular,jul,unknown
technician,married,secondary,no,no,no,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
admin,single,secondary,no,no,yes,cellular,jul,unknown
technician,married,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
unemployed,single,secondary,no,no,no,cellular,jul,unknown
blue-collar,married,primary,no,yes,no,cellular,jul,unknown
admin,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,single,primary,no,no,no,cellular,jul,unknown
services,divorced,tertiary,no,yes,no,cellular,jul,unknown
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown
admin,divorced,tertiary,yes,no,yes,cellular,jul,unknown
services,divorced,secondary,no,yes,no,cellular,jul,unknown
management,married,tertiary,yes,yes,yes,cellular,jul,unknown
technician,married,secondary,no,no,yes,cellular,jul,unknown
management,married,tertiary,no,yes,yes,cellular,jul,unknown
blue-collar,married,primary,no,yes,yes,cellular,jul,unknown
management,single,tertiary,no,no,yes,cellular,jul,unknown
blue-collar,married,primary,no,no,yes,cellular,jul,unknown
unemployed,single,primary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,no,yes,yes,cellular,jul,unknown
blue-collar,married,secondary,no,no,no,cellular,jul,unknown
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
entrepreneur,married,unknown,no,yes,yes,cellular,jul,unknown
admin,married,secondary,no,yes,yes,cellular,jul,unknown
admin,single,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
services,married,secondary,no,no,yes,cellular,jul,unknown
services,married,secondary,no,yes,no,cellular,jul,unknown
admin,divorced,secondary,no,no,no,cellular,jul,unknown
management,married,tertiary,no,yes,no,cellular,jul,unknown
technician,married,secondary,no,no,yes,cellular,jul,unknown
blue-collar,single,primary,no,no,no,cellular,jul,unknown
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown
management,single,tertiary,no,no,no,cellular,jul,unknown
student,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown
retired,divorced,secondary,no,no,no,cellular,jul,unknown
management,married,tertiary,no,yes,no,cellular,jul,unknown
management,single,tertiary,no,yes,no,cellular,jul,unknown
management,divorced,secondary,no,yes,no,cellular,jul,unknown
admin,married,secondary,no,yes,no,cellular,jul,unknown
technician,married,secondary,no,yes,no,cellular,jul,unknown
admin,married,secondary,no,yes,no,cellular,jul,unknown
entrepreneur,married,secondary,no,no,yes,cellular,jul,unknown
technician,married,secondary,no,yes,no,cellular,jul,unknown
entrepreneur,married,tertiary,no,yes,no,cellular,jul,unknown
technician,married,secondary,no,no,yes,cellular,jul,unknown
admin,married,tertiary,no,yes,no,cellular,jul,unknown
admin,divorced,secondary,no,yes,no,cellular,jul,unknown
services,divorced,secondary,no,no,yes,cellular,jul,unknown
technician,married,secondary,no,yes,no,cellular,jul,unknown
technician,married,tertiary,no,yes,no,cellular,jul,unknown
management,married,tertiary,no,no,yes,cellular,jul,unknown
services,single,secondary,no,no,yes,cellular,jul,unknown
management,married,tertiary,no,yes,no,cellular,jul,unknown
entrepreneur,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,single,primary,no,yes,no,cellular,jul,unknown
services,divorced,secondary,no,no,yes,cellular,jul,unknown
retired,married,secondary,no,no,no,cellular,jul,unknown
entrepreneur,married,secondary,no,no,yes,cellular,jul,unknown
management,divorced,tertiary,no,no,no,cellular,jul,unknown
blue-collar,single,primary,no,no,no,cellular,jul,unknown
entrepreneur,divorced,secondary,no,no,yes,cellular,jul,unknown
student,single,tertiary,no,no,no,cellular,jul,unknown
entrepreneur,married,tertiary,no,no,no,cellular,jul,unknown
management,single,tertiary,no,yes,no,cellular,jul,unknown
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
blue-collar,single,unknown,no,yes,yes,cellular,jul,unknown
management,single,tertiary,no,yes,no,cellular,jul,unknown
technician,single,secondary,no,no,no,cellular,jul,unknown
management,married,tertiary,no,yes,no,cellular,jul,unknown
blue-collar,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,married,tertiary,no,no,no,cellular,jul,unknown
technician,married,secondary,no,yes,yes,cellular,jul,unknown
unemployed,divorced,tertiary,no,yes,no,cellular,jul,unknown
blue-collar,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown
blue-collar,married,secondary,no,no,yes,cellular,jul,unknown
blue-collar,married,secondary,no,yes,no,cellular,jul,unknown
admin,single,secondary,no,no,no,cellular,jul,unknown
blue-collar,married,secondary,no,yes,yes,cellular,jul,unknown
services,married,secondary,no,yes,yes,cellular,jul,unknown
student,married,secondary,no,yes,no,cellular,jul,unknown
management,married,tertiary,no,no,yes,cellular,jul,unknown
housemaid,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,single,secondary,no,yes,no,cellular,jul,unknown
technician,married,secondary,no,yes,no,cellular,jul,unknown
blue-collar,divorced,secondary,no,yes,no,telephone,jul,unknown
services,single,secondary,no,no,yes,cellular,jul,unknown
management,married,tertiary,no,yes,no,cellular,jul,unknown
services,single,secondary,no,yes,no,cellular,jul,unknown
self-employed,divorced,secondary,no,yes,no,cellular,jul,unknown
blue-collar,married,primary,no,yes,no,cellular,jul,unknown
admin,married,secondary,no,yes,no,telephone,jul,unknown
technician,single,tertiary,no,no,no,cellular,jul,unknown
housemaid,married,primary,no,yes,no,cellular,jul,unknown
blue-collar,divorced,primary,no,yes,no,cellular,jul,unknown
management,divorced,tertiary,no,yes,no,cellular,jul,unknown
services,married,secondary,no,yes,no,cellular,jul,unknown
blue-collar,single,secondary,no,no,yes,cellular,jul,unknown
