"['self', 'employed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['entrepreneur', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'dec', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'failure']"
"['retired', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'sep', 'failure']"
"['technician', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['housemaid', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['unemployed', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'sep', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'failure']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'other']"
"['management', 'married', 'unknown', 'no', 'yes', 'yes', 'cellular', 'nov', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'dec', 'failure']"
"['blue', 'collar', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'other']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'dec', 'success']"
"['management', 'married', 'unknown', 'no', 'no', 'no', 'unknown', 'sep', 'failure']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['self', 'employed', 'single', 'primary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['blue', 'collar', 'married', 'unknown', 'no', 'yes', 'no', 'telephone', 'jul', 'unknown']"
"['blue', 'collar', 'single', 'unknown', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'sep', 'other']"
"['admin', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'nov', 'failure']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'dec', 'success']"
"['services', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'jun', 'unknown']"
"['retired', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['unknown', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['entrepreneur', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'aug', 'failure']"
"['housemaid', 'single', 'tertiary', 'no', 'no', 'no', 'unknown', 'mar', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'success']"
"['housemaid', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'jan', 'failure']"
"['retired', 'divorced', 'primary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'telephone', 'nov', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['student', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'nov', 'other']"
"['unemployed', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'mar', 'failure']"
"['blue', 'collar', 'married', 'unknown', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'other']"
"['blue', 'collar', 'divorced', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'success']"
"['management', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'mar', 'other']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['unknown', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'sep', 'failure']"
"['services', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['housemaid', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'dec', 'success']"
"['management', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['self', 'employed', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'unknown', 'jun', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'telephone', 'oct', 'unknown']"
"['entrepreneur', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'mar', 'unknown']"
"['unemployed', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'unknown', 'sep', 'other']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'other']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'success']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['entrepreneur', 'single', 'primary', 'no', 'no', 'yes', 'unknown', 'jul', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'mar', 'failure']"
"['entrepreneur', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['unemployed', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'success']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['unemployed', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'apr', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['self', 'employed', 'married', 'unknown', 'no', 'no', 'no', 'telephone', 'oct', 'unknown']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['admin', 'divorced', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['unknown', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'divorced', 'primary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'failure']"
"['retired', 'single', 'primary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['unemployed', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'tertiary', 'no', 'no', 'yes', 'cellular', 'feb', 'failure']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['unemployed', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'success']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'divorced', 'secondary', 'no', 'no', 'yes', 'cellular', 'nov', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'yes', 'cellular', 'nov', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'jan', 'unknown']"
"['self', 'employed', 'married', 'tertiary', 'no', 'no', 'no', 'telephone', 'jul', 'other']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['services', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'jul', 'other']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'yes', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'oct', 'failure']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'apr', 'other']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['services', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'success']"
"['admin', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'nov', 'failure']"
"['blue', 'collar', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['services', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'success']"
"['self', 'employed', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'dec', 'failure']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['retired', 'divorced', 'primary', 'yes', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'jul', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'yes', 'cellular', 'aug', 'unknown']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jun', 'success']"
"['services', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'mar', 'other']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['entrepreneur', 'married', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'may', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'telephone', 'jun', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['unemployed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['admin', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'jun', 'failure']"
"['blue', 'collar', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'success']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['entrepreneur', 'married', 'secondary', 'no', 'no', 'yes', 'cellular', 'jul', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'yes', 'cellular', 'aug', 'unknown']"
"['student', 'single', 'secondary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'other']"
"['management', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'aug', 'unknown']"
"['retired', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'oct', 'unknown']"
"['self', 'employed', 'divorced', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['blue', 'collar', 'divorced', 'secondary', 'no', 'yes', 'no', 'telephone', 'apr', 'success']"
"['management', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['unemployed', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'jan', 'success']"
"['technician', 'single', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'married', 'unknown', 'no', 'yes', 'no', 'telephone', 'jul', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'no', 'no', 'cellular', 'nov', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['technician', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'sep', 'success']"
"['services', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'success']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'unknown']"
"['admin', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'apr', 'failure']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'jun', 'unknown']"
"['housemaid', 'married', 'primary', 'no', 'no', 'yes', 'unknown', 'jun', 'unknown']"
"['retired', 'divorced', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'jan', 'unknown']"
"['unemployed', 'single', 'secondary', 'yes', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'success']"
"['housemaid', 'married', 'primary', 'no', 'yes', 'yes', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'yes', 'unknown', 'may', 'unknown']"
"['retired', 'married', 'tertiary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['admin', 'married', 'unknown', 'no', 'no', 'no', 'cellular', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jul', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['retired', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'sep', 'unknown']"
"['services', 'married', 'primary', 'no', 'yes', 'no', 'cellular', 'apr', 'unknown']"
"['blue', 'collar', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'jan', 'unknown']"
"['self', 'employed', 'single', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'yes', 'no', 'cellular', 'jul', 'success']"
"['technician', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'success']"
"['admin', 'married', 'tertiary', 'no', 'yes', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'secondary', 'no', 'no', 'no', 'cellular', 'jul', 'other']"
"['services', 'married', 'unknown', 'no', 'yes', 'no', 'cellular', 'feb', 'other']"
"['technician', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'divorced', 'primary', 'no', 'no', 'no', 'telephone', 'nov', 'success']"
"['self', 'employed', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'jun', 'unknown']"
"['services', 'married', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'unknown']"
"['management', 'single', 'tertiary', 'no', 'no', 'no', 'cellular', 'apr', 'success']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'feb', 'failure']"
"['management', 'married', 'tertiary', 'no', 'yes', 'no', 'cellular', 'nov', 'unknown']"
"['entrepreneur', 'single', 'unknown', 'no', 'no', 'no', 'cellular', 'jul', 'failure']"
"['management', 'married', 'tertiary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
"['technician', 'divorced', 'secondary', 'no', 'yes', 'no', 'cellular', 'may', 'failure']"
"['management', 'divorced', 'tertiary', 'no', 'yes', 'no', 'cellular', 'dec', 'other']"
"['admin', 'married', 'secondary', 'no', 'yes', 'no', 'telephone', 'may', 'success']"
"['management', 'divorced', 'tertiary', 'no', 'no', 'no', 'cellular', 'jul', 'unknown']"
"['entrepreneur', 'married', 'secondary', 'no', 'no', 'no', 'unknown', 'may', 'unknown']"
"['technician', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'feb', 'unknown']"
"['management', 'married', 'tertiary', 'no', 'yes', 'yes', 'cellular', 'feb', 'unknown']"
"['blue', 'collar', 'married', 'primary', 'no', 'no', 'no', 'cellular', 'aug', 'unknown']"
